Reference_Number,Citation
[1],"American Petroleum Institute - ""Recommended Practise for Planning, Designing and Constructing Fixed Offshore Platforms – Load and Resistance Factor Design"". API-RP-2A-LRFD, Second Edition, Apr 1994."
[2],"Det Norske Veritas (DnV) - ""Fatigue Strength Analysis for Mobile Offshore Units"", Aug 1984."
[3],"Norsok Standard - ""Design of Steel Structures"". N-004, Rev 1, Dec 1998."
[4],"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
[5],"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2000."
[6],"OTC 8409 ""Advances in Titanium Risers for FPSO's""; Carl Baxter et al 1997."
[7],Marintek 1998.
[8],"OMAE papers ""Fatigue strength of titanium riser welds effects of material grade and weld method"", OMAE 2002/MAT-28576 & ""Fatigue of 28-inch titanium riser – sn data and defect assessment"", OMAE 2002/MAT-28577."
[9],"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2008."
[10],"BP Engineering Technical Practises, ""Riser Fatigue Calculation Guidance Note"", GN65-704, Revision 2, Jun 2008."
[11],"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Apr 2010."
[12],"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Oct 2011."
[13],"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Oct 2012."
[14],"British Standard (Bsi) - ""Fatigue Design and assessment of steel structures"" (BS7608:1993, AMD 8337), Feb 1995"
[15],"British Standard (Bsi) - ""Fatigue Design and assessment of steel structures"" (BS7608:2014), Mar 2014"
