,OD,ID,t,Pd,Pa,Pt,Pb
0,12.75,10.75,1.0,5347.93869737528,6016.43103454719,7659.808310538605,8913.231162292133
1,12.75,10.55,1.1,6007.777407130215,6758.749583021493,8502.88498292987,10012.962345217025
2,12.75,10.35,1.2,6679.966423480697,7514.962226415784,9362.098069901469,11133.277372467828
3,12.75,10.15,1.3,7364.976904509176,8285.599017572824,10238.077344002879,12274.961507515294
4,12.75,9.95,1.4,8063.307495123359,9071.220932013779,11131.490180967023,13438.845825205599
5,12.75,9.75,1.5,8775.486507596335,9872.422321045879,12043.044614280385,14625.810845993894
6,12.75,9.55,1.6,9502.074322718296,10689.833613058083,12973.492706353833,15836.790537863826
7,12.75,9.35,1.7,10243.66603889775,11524.12429375997,13923.634276506935,17072.77673149625
8,12.75,9.15,1.8,11000.894400586027,12376.00620065928,14894.321032067099,18334.82400097671
9,12.75,8.95,1.9,11774.433042130488,13246.2371723968,15886.461156049654,19624.05507021748
10,12.75,8.75,2.0,12565.000088726307,14135.625099817096,16901.024413345134,20941.666814543845
